"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000145416.13",615.355805169157,-1.78155350987037,0.478787190349646,-3.72097154180199,0.000198457804184747,0.0225018283517579
"ENSG00000146094.15",603.719142585896,-1.9827341901791,0.479159506801587,-4.13794187955061,3.50435107302486e-05,0.00912275136733814
"ENSG00000146192.15",747.153995869326,-2.16215760464226,0.495541750675967,-4.36321985320684,1.28162029558812e-05,0.00501144083642817
"ENSG00000148600.15",42.6859153677343,-2.56233598398872,0.757118531001744,-3.38432607190117,0.000713532098204935,0.0438814223181448
"ENSG00000150045.12",33.1348270139684,-3.10457294329184,0.551617335745987,-5.6281279468734,1.82175941913784e-08,4.53237182032229e-05
"ENSG00000152689.18",823.103955318642,-1.39338566608557,0.408656052754086,-3.40967827760051,0.000650395537747843,0.0416847182237593
"ENSG00000153898.13",146.808852344688,-2.29397372183602,0.624749015386492,-3.67183247246398,0.000240817529601396,0.0252570470249991
"ENSG00000154133.15",756.344702757502,-1.21358890971143,0.364334884278287,-3.33097093383039,0.000865436384481275,0.0488734445107057
"ENSG00000156886.12",29.6610349166734,-3.97066197745188,0.701510313225684,-5.6601619428715,1.51230217228107e-08,4.1387173548816e-05
"ENSG00000157368.11",340.128653852473,-1.91452129959883,0.488990567958326,-3.91525200085658,9.03098315013834e-05,0.0150701777969412
"ENSG00000158473.8",246.387816034675,-1.79879637814719,0.536174581489533,-3.35487067132126,0.000794020965139161,0.0462339824531136
"ENSG00000158517.15",198.432152213448,-2.21596542824599,0.662658010692333,-3.34405589684306,0.000825631004966247,0.0476688685926398
"ENSG00000158555.15",983.149266175995,-1.40067820994411,0.363567763494232,-3.85259187030846,0.000116874104263978,0.0172956726357028
"ENSG00000158717.11",738.853297034799,-1.27993725484794,0.339538552972988,-3.76963747898685,0.000163484836634769,0.020063181722797
"ENSG00000160219.12",304.735846357042,-1.69579123316301,0.453711062773454,-3.73760168596495,0.00018578396075978,0.0218212431506991
"ENSG00000160321.15",67.6438798945381,-1.84660221392127,0.544041605487427,-3.39422977084047,0.000688219235133523,0.0428056722906798
"ENSG00000160883.11",452.908453192963,-2.37370937697842,0.660610206986884,-3.59320723760109,0.000326632600590186,0.0300752839168704
"ENSG00000161640.15",44.1368970076298,-2.85612313231659,0.848900819498671,-3.36449567100585,0.00076683687236254,0.0452315509454135
"ENSG00000161929.15",247.33403305698,-2.48453027376394,0.626894963446198,-3.96323214993762,7.39418150697038e-05,0.0132259193007358
"ENSG00000163219.12",730.548906074535,-2.07302038911876,0.518033786712907,-4.00170885044535,6.28866518781858e-05,0.0120776372692642
"ENSG00000163687.14",106.404418863976,-3.94800605394068,0.852906528987424,-4.6288847836911,3.67640232556306e-06,0.00243628563185942
"ENSG00000164129.12",10.9551498568119,-3.05158469283113,0.906439733730121,-3.36656104016254,0.00076111735637355,0.0451583893146765
"ENSG00000166839.17",237.081494372777,-1.20150879370972,0.310756294997609,-3.86640210689525,0.000110452769872257,0.0168869326988495
"ENSG00000167083.7",81.5515600886945,-1.55604394355024,0.43096114842292,-3.61063624701322,0.000305446795628377,0.0289244375638817
"ENSG00000167851.15",764.106372526951,-1.68401703882642,0.453746722552765,-3.71135912420962,0.000206149387181147,0.023121681471256
"ENSG00000168010.11",1195.16660498727,-1.76701032929204,0.403794080315121,-4.37601840996049,1.20866810285385e-05,0.00493695820459722
"ENSG00000168356.13",25.5120538183232,-3.00542540662229,0.592892443359507,-5.06909042320163,3.9972130786051e-07,0.000546958651610928
"ENSG00000169442.9",1214.73340921389,-2.43744468300118,0.679483235292705,-3.58720356353043,0.000334243383154411,0.0303829895602831
"ENSG00000171608.16",1109.28796179412,-1.65050225701536,0.487880282535296,-3.38300668442355,0.000716968872070916,0.0439939173138223
"ENSG00000172738.12",36.4409930795643,-1.99753493707038,0.473966694706977,-4.21450485736203,2.5032676531817e-05,0.00766064172849657
"ENSG00000173868.12",36.8200894596498,-2.01829837848421,0.508143047356263,-3.97190985685015,7.12987013568478e-05,0.0130955138257239
"ENSG00000178789.9",82.537473225622,-2.19735416250538,0.55375440371482,-3.96810237131225,7.24472137996527e-05,0.0131041038198035
"ENSG00000179044.16",260.506047835976,-1.41352301089081,0.36908109653124,-3.82984396701868,0.000128224537365178,0.0182766714274626
"ENSG00000179165.11",2.22556968361013,-1.60482891736479,0.441843406816864,-3.63212145435491,0.000281100755952873,0.0274745871005796
"ENSG00000179583.19",1961.39888610902,-1.98851002293026,0.503881791731398,-3.94638197998285,7.93410021549619e-05,0.0137425645947775
"ENSG00000179840.5",3.7230913944595,-2.31388258479311,0.67900661299752,-3.40774675901655,0.000655016539843759,0.0417506667661999
"ENSG00000180539.8",42.893262650056,-1.69547123629275,0.449178091022996,-3.77460804562248,0.00016025943873474,0.020063181722797
"ENSG00000180644.8",379.987303142715,-2.17636771116035,0.534170008359886,-4.07429783982568,4.61533845851507e-05,0.0109008080176361
"ENSG00000181036.14",52.3529934000803,-2.69840075702529,0.666975616825389,-4.04572624389015,5.21611609835021e-05,0.0114113472340726
"ENSG00000181631.7",192.63351806311,-2.23207022456741,0.632090136167724,-3.53125305530022,0.000413595854638361,0.0335871743438814
"ENSG00000182957.16",1985.85936398997,-1.04035597546127,0.232594425241087,-4.47283280492611,7.71901310125041e-06,0.00377225413467714
"ENSG00000184060.11",447.215877126762,-1.35066848574621,0.389099695760072,-3.47126584899482,0.000518010879150083,0.0375037135706358
"ENSG00000184293.7",44.1559739049522,-3.02858164228181,0.717956909543301,-4.21833344317045,2.46114672900073e-05,0.00766064172849657
"ENSG00000186517.14",1707.3835437905,-1.71741717897835,0.502687426366244,-3.41647132770551,0.000634383438436504,0.0410731287650202
"ENSG00000186642.16",508.967968575985,-2.04279138583047,0.53398966940393,-3.82552604081414,0.000130493138788213,0.018408276954727
"ENSG00000187808.5",66.9032893794624,-1.94528168216707,0.477438200493367,-4.07441566292116,4.61300261825133e-05,0.0109008080176361
"ENSG00000188375.5",12.8747995563451,-2.54599478056888,0.421304168989417,-6.04312743136618,1.51155173112192e-09,6.8944393709356e-06
"ENSG00000188536.13",361.937069094401,-3.41981092838727,0.958069169345839,-3.56948228562901,0.000357687401923319,0.0310210890124128
"ENSG00000188820.13",28.0065947003994,-2.57030055674803,0.773816984018973,-3.3215871579849,0.000895070223825565,0.0495686519133108
"ENSG00000197943.10",1509.97611705443,-1.69476614415602,0.443402334034458,-3.82218588868392,0.00013227391508839,0.0185166360562032
"ENSG00000205045.11",32.5092494742632,-1.94952763805086,0.562461092610794,-3.46606665538709,0.000528132330878573,0.037954849018442
"ENSG00000205268.11",1421.4301659024,-1.44018632527215,0.41344906054618,-3.48334646925938,0.000495187056409515,0.0368255004694543
"ENSG00000211689.7",26.0178241903934,-2.56180590395596,0.702307653554088,-3.64769754535883,0.000264600856739672,0.0267207809830059
"ENSG00000211696.2",3.74871933319845,-2.46632247433838,0.717408455129769,-3.43782186661329,0.000586413329471204,0.0397236969991051
"ENSG00000211804.3",3.52402271490445,-3.24028092228718,0.914392349842152,-3.54364395420252,0.000394637800502338,0.0328269078612386
"ENSG00000211829.9",26.0119932779424,-2.35505943731129,0.59909738614082,-3.93101270643454,8.45888007645983e-05,0.0143785199411476
"ENSG00000213075.7",2.6791999326428,-2.40756135416866,0.695200101131448,-3.46311997114258,0.000533950263898131,0.037954849018442
"ENSG00000213371.4",5.56462526305574,-1.16470369196737,0.331254365036451,-3.5160402847498,0.000438034515049981,0.0348160769667645
"ENSG00000213809.9",13.9708289464095,-2.63227216669403,0.684844616595089,-3.84360496221926,0.000121240109872325,0.0176488196110422
"ENSG00000220412.1",9.68508874944728,-2.68766273406673,0.706038863022367,-3.80667817995394,0.000140845829230404,0.0190818208343983
"ENSG00000221968.9",1030.52210820549,-1.29811542981003,0.375943866833571,-3.4529501458384,0.000554491470513304,0.0388101485256716
"ENSG00000222057.1",4.60999435951147,-2.6218194866677,0.690110004378596,-3.79913270352963,0.000145203332273582,0.0194459675879273
"ENSG00000223534.1",44.3816702510219,-2.29835099737442,0.691308829272128,-3.3246371231716,0.000885336847419182,0.0493462596808976
"ENSG00000223668.1",13.4617873376444,-3.13383669022367,0.5318854104035,-5.89193955864717,3.81688795031426e-09,1.49223960766072e-05
"ENSG00000224137.1",48.1122408039274,-3.01939143292451,0.876896906731367,-3.44326842727647,0.000574728560386437,0.0392908253404684
"ENSG00000225342.2",19.8163938929403,-1.91017821049672,0.504357609162519,-3.78734884890216,0.000152263253814596,0.0196344061631861
"ENSG00000225411.3",3.06812078098159,-3.06313440125652,0.681568767917694,-4.49424114695705,6.9818473936492e-06,0.00347404032039996
"ENSG00000226239.2",10.3354319174344,-2.61386216965932,0.561521107076122,-4.65496690457439,3.24032751276774e-06,0.00233363271162934
"ENSG00000226491.1",15.8679792854671,-1.60893208187234,0.432390193674609,-3.72101889776698,0.000198420587618064,0.0225018283517579
"ENSG00000226985.7",3.45279555333376,-2.82199025997848,0.711137732344912,-3.96827524630598,7.23946897324599e-05,0.0131041038198035
